"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Attempt payment without securing trip or acknowledging terms","","2026-05-23","skipped","2026-05-23","","","",""
"","469","Negative Validation Flow - Negative_Invalid_PAN_Format -- @1.2 ","","2026-05-24","skipped","2026-05-24","","","",""
"","154298","Positive Booking Flow - Positive_Standard_Booking_1 -- @1.1 ","","2026-05-24","broken","2026-05-24","","","",""
"","23","Negative Form Validation Flows -- @1.2 ","","2026-05-23","skipped","2026-05-23","","","",""
"","78834","Validate default dates and guest configuration","","2026-05-24","broken","2026-05-24","","","",""
"","216107","Positive Hotel Booking Flows -- @1.2 ","","2026-05-23","broken","2026-05-23","","","",""
"","27923","4. Positive - Extended Long Stay Booking -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","162654","Search for an invalid destination","","2026-05-24","skipped","2026-05-24","","","",""
"","30442","6. Negative - Invalid PAN Format Rejection -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","28595","1. Positive - Standard Domestic Booking -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","49787","Apply 5-Star filter where no such hotels exist","","2026-05-24","broken","2026-05-24","","","",""
"","40824","3. Positive - Corporate Business Trip Booking -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","34","Negative Form Validation Flows -- @1.1 ","","2026-05-23","skipped","2026-05-23","","","",""
"","34259","Positive Booking Flow - Positive_Standard_Booking_1 -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","56","Proceed to payment with empty guest details","","2026-05-23","skipped","2026-05-23","","","",""
"","126247","Validate 5-Star filter application","","2026-05-24","broken","2026-05-24","","","",""
"","222580","Hotel Booking End-to-End Flow using Single Guest Dataset","","2026-05-24","broken","2026-05-24","","","",""
"","40858","End to end hotel booking flow using valid test data","","2026-05-24","broken","2026-05-24","","","",""
"","4","Hotel Booking End-to-End Flow -- @1.1 ","","2026-05-23","skipped","2026-05-23","","","",""
"","175725","Positive Booking Flow - Positive_Standard_Booking_2 -- @1.2 ","","2026-05-24","broken","2026-05-24","","","",""
"","154133","Positive Hotel Booking Flows -- @1.3 ","","2026-05-23","skipped","2026-05-23","","","",""
"","111475","2. Positive - Family Multi-Room Booking -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","107410","5. Negative - Missing First Name Validation -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","25","Negative Validation Flow - Negative_Missing_FirstName -- @1.1 ","","2026-05-24","skipped","2026-05-24","","","",""
"","210","Positive Booking Flow - Positive_Standard_Booking_2 -- @1.2 ","","2026-05-23","skipped","2026-05-23","","","",""
"","125207","Positive Hotel Booking Flows -- @1.1 ","","2026-05-23","broken","2026-05-23","","","",""
"","139202","Hotel Booking End-to-End Flow -- @1.1 ","","2026-05-24","broken","2026-05-24","","","",""
